ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
BLR,Belarus,total,Drinking water,2016,94.51099,8927165.80804,Safely managed service
BLR,Belarus,total,Drinking water,2016,0,0,Surface water
BLR,Belarus,total,Sanitation,2016,0.5332,50364.42707,Unimproved
BLR,Belarus,total,Drinking water,2016,0.19621,18533.70835,Unimproved
BLZ,Belize,total,Sanitation,2016,87.53477,322477.23494,At least basic
BLZ,Belize,total,Drinking water,2016,97.58454,359500.47438,At least basic
BLZ,Belize,total,Sanitation,2016,8.99122,33123.57934,Limited service
BLZ,Belize,total,Drinking water,2016,1.23543,4551.31976,Limited service
BLZ,Belize,total,Sanitation,2016,1.00061,3686.24696,Open defecation
BLZ,Belize,total,Drinking water,2016,0,0,Surface water
BLZ,Belize,total,Sanitation,2016,2.47339,9111.93398,Unimproved
BLZ,Belize,total,Drinking water,2016,1.18003,4347.21236,Unimproved
BRA,Brazil,total,Sanitation,2016,41.97626,86539539.6477,Basic service
BRA,Brazil,total,Drinking water,2016,15.26544,31471695.03881,Basic service
BRA,Brazil,total,Sanitation,2016,0.32836,676961.39989,Limited service
BRA,Brazil,total,Drinking water,2016,0.57425,1183897.27214,Limited service
BRA,Brazil,total,Sanitation,2016,1.56443,3225274.68483,Open defecation
BRA,Brazil,total,Sanitation,2016,44.88398,92534190.82177,Safely managed service
BRA,Brazil,total,Drinking water,2016,82.6904,170477055.69986,Safely managed service
BRA,Brazil,total,Drinking water,2016,1.11238,2293310.26694,Surface water
BRA,Brazil,total,Sanitation,2016,11.24697,23187089.45199,Unimproved
BRA,Brazil,total,Drinking water,2016,0.35753,737097.70988,Unimproved
BWA,Botswana,total,Sanitation,2016,76.01731,1641916.90678,At least basic
BWA,Botswana,total,Drinking water,2016,89.40444,1931068.8902,At least basic
BWA,Botswana,total,Sanitation,2016,5.52988,119441.16933,Limited service
BWA,Botswana,total,Drinking water,2016,7.48535,161677.93903,Limited service
BWA,Botswana,total,Sanitation,2016,11.55621,249605.51312,Open defecation
BWA,Botswana,total,Drinking water,2016,1.50402,32485.72185,Surface water
BWA,Botswana,total,Sanitation,2016,6.8966,148961.38396,Unimproved
BWA,Botswana,total,Drinking water,2016,1.60619,34692.42983,Unimproved
CHN,China,total,Drinking water,2016,92.316,1327197234.01736,At least basic
CHN,China,total,Sanitation,2016,29.84543,429078007.1453,Basic service
CHN,China,total,Sanitation,2016,3.03144,43582021.81243,Limited service
CHN,China,total,Drinking water,2016,0.82577,11871834.53795,Limited service
CHN,China,total,Sanitation,2016,0.59249,8518093.65758,Open defecation
CHN,China,total,Sanitation,2016,56.24054,808552023.71659,Safely managed service
CHN,China,total,Drinking water,2016,0.51316,7377476.31722,Surface water
